Date,Name,Year,Letterboxd URI,Rating
2023-08-20,Paths of Glory,1957,https://boxd.it/29b6,4
2023-08-20,Spartacus,1960,https://boxd.it/29bq,4
2023-08-20,Lolita,1962,https://boxd.it/29Ag,1.5
2023-08-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,3.5
2023-08-20,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4.5
2023-08-20,A Clockwork Orange,1971,https://boxd.it/2aVE,3.5
2023-08-20,Barry Lyndon,1975,https://boxd.it/25A2,4
2023-08-20,The Shining,1980,https://boxd.it/29Nu,4
2023-08-20,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2023-08-20,Eyes Wide Shut,1999,https://boxd.it/2axs,5
2023-08-21,The Great Beauty,2013,https://boxd.it/5ty6,4
2023-08-22,The Worst Person in the World,2021,https://boxd.it/oyws,3
2023-08-23,Boiling Point,2021,https://boxd.it/uo2u,3.5
2023-08-25,The Lobster,2015,https://boxd.it/7tnw,3.5
2023-08-27,Mission: Impossible,1996,https://boxd.it/29d2,2.5
2023-08-29,Trash Humpers,2009,https://boxd.it/Mki,2
2023-08-29,Lamb,2021,https://boxd.it/tFwE,2.5
2023-08-31,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,3
2023-09-01,Too Late,2015,https://boxd.it/bpCU,2.5
2023-09-02,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a,4
2023-09-03,La Haine,1995,https://boxd.it/2as8,4
2023-09-04,Former Cult Member Hears Music for the First Time,2020,https://boxd.it/olH8,3
2023-09-05,Scarface,1983,https://boxd.it/2b7g,4
2023-09-06,Eer,2021,https://boxd.it/sU4I,3
2023-09-07,Past Lives,2023,https://boxd.it/oNB8,3
2023-09-08,The Banshees of Inisherin,2022,https://boxd.it/p7XS,3
2023-09-09,The Nun II,2023,https://boxd.it/AyRY,1
2023-09-10,Saw,2004,https://boxd.it/2aWW,3
2023-09-11,Come and See,1985,https://boxd.it/1w9q,3.5
2023-09-11,X,2022,https://boxd.it/sxVa,3
2023-09-11,Pearl,2022,https://boxd.it/zPbe,2.5
2023-09-11,Saw II,2005,https://boxd.it/2aRs,3
2023-09-12,Dogville,2003,https://boxd.it/2a8W,4
2023-09-15,Saw III,2006,https://boxd.it/2aRC,1.5
2023-09-16,The Elephant Man,1980,https://boxd.it/27LQ,4
2023-09-18,Saw IV,2007,https://boxd.it/29Sa,2
2023-09-25,Bottoms,2023,https://boxd.it/uGf2,3
2023-10-01,The Creator,2023,https://boxd.it/oXWq,3
2023-10-08,Saw X,2023,https://boxd.it/zUWk,3
2023-10-08,Jigsaw,2017,https://boxd.it/9sDs,3
2023-10-21,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4.5
2023-11-04,Halloween Ends,2022,https://boxd.it/mO8M,0.5
2023-11-04,Five Nights at Freddy's,2023,https://boxd.it/ikHu,3
2023-11-04,Skinamarink,2022,https://boxd.it/ByDO,4
2023-11-04,Terrifier 2,2022,https://boxd.it/oI10,2
2023-11-18,Fractured,2019,https://boxd.it/kPL2,2
2023-11-20,Something Is About to Happen,2023,https://boxd.it/vf5w,0.5
2023-11-25,The Perfect Family,2021,https://boxd.it/v9ik,0.5
2023-11-25,A Simple Favor,2018,https://boxd.it/hq92,2.5
2023-11-27,Barbie,2023,https://boxd.it/bCLK,3
2023-11-27,Another Round,2020,https://boxd.it/lkba,4
2023-12-18,Godzilla Minus One,2023,https://boxd.it/zu4c,4
2023-12-24,Aquaman and the Lost Kingdom,2023,https://boxd.it/l1LS,1
2023-12-24,Anatomy of a Fall,2023,https://boxd.it/yuDE,3.5
2023-12-24,Father There Is Only One,2019,https://boxd.it/lCgC,1.5
2024-01-07,La Jetée,1962,https://boxd.it/29Sk,4
2024-01-14,The Beasts,2022,https://boxd.it/w1L6,4.5
2024-01-29,Poor Things,2023,https://boxd.it/tNWU,3
2024-01-31,Edge of Winter,2016,https://boxd.it/e8Wk,2
2024-02-27,Escape from New York,1981,https://boxd.it/294k,3
2024-02-27,Decision to Leave,2022,https://boxd.it/qp9e,4
2024-03-05,The Informer,2019,https://boxd.it/gGJI,2.5
2024-03-09,Dune,2021,https://boxd.it/fA7G,3
2024-03-11,Perfect Days,2023,https://boxd.it/ATh8,3.5
2024-03-18,The Holdovers,2023,https://boxd.it/vHza,3.5
2024-03-23,Road House,2024,https://boxd.it/cdzQ,2.5
2024-03-25,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-03-25,The Others,2001,https://boxd.it/27Po,3.5
2024-03-26,John Wick: Chapter 4,2023,https://boxd.it/mh48,3.5
2024-03-27,Gran Turismo,2023,https://boxd.it/B2lS,3
2024-03-27,Heat,1995,https://boxd.it/2bg8,4
2024-03-28,Anyone But You,2023,https://boxd.it/EzA8,3
2024-03-28,Judas and the Black Messiah,2021,https://boxd.it/lsew,3.5
2024-03-28,Eastern Promises,2007,https://boxd.it/275q,2
2024-03-28,The Iron Claw,2023,https://boxd.it/w5Pm,3.5
