Date,Name,Year,Letterboxd URI,Rating
2019-04-20,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,0.5
2019-04-20,Over the Garden Wall,2014,https://boxd.it/eqFw,5
2019-04-20,Radio Rebel,2012,https://boxd.it/39mq,1
2019-04-20,Geek Charming,2011,https://boxd.it/2Q8k,1
2019-04-20,Beverly Hills Chihuahua 2,2011,https://boxd.it/u2q,0.5
2019-04-20,Percy Jackson & the Olympians: The Lightning Thief,2010,https://boxd.it/1gJi,1.5
2019-04-20,Ready Player One,2018,https://boxd.it/aZes,2.5
2019-04-21,How the Beatles Changed the World,2017,https://boxd.it/i8R8,2.5
2019-04-21,Suicide Squad,2016,https://boxd.it/9row,0.5
2019-04-21,Crazy Rich Asians,2018,https://boxd.it/gfnK,3
2019-04-23,Someone Great,2019,https://boxd.it/iFva,2.5
2019-04-28,Unbreakable,2000,https://boxd.it/1XV2,3.5
2019-05-03,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,3.5
2019-05-19,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,1.5
2019-05-19,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,1.5
2019-05-19,Letters to Juliet,2010,https://boxd.it/19aK,3
2019-05-20,Léon: The Professional,1994,https://boxd.it/2b8S,4
2019-06-04,Rocketman,2019,https://boxd.it/iehK,4
2019-06-16,Booksmart,2019,https://boxd.it/igNS,4.5
2019-06-16,Black Mirror: Striking Vipers,2019,https://boxd.it/mlse,1.5
2019-06-16,"Black Mirror: Rachel, Jack and Ashley Too",2019,https://boxd.it/mltQ,2
2019-06-16,20th Century Women,2016,https://boxd.it/bqU6,2.5
2019-06-19,The Breakfast Club,1985,https://boxd.it/27q4,4
2019-06-21,Black Mirror: Smithereens,2019,https://boxd.it/mltc,3.5
2019-06-22,Beats,2019,https://boxd.it/hMig,1.5
2019-08-20,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3
2019-08-20,Generation Wealth,2018,https://boxd.it/hLAI,3
2019-08-21,Kiki's Delivery Service,1989,https://boxd.it/1JAY,3
2019-08-23,Dirty Dancing,1987,https://boxd.it/2baY,2
2019-08-23,Jawbreaker,1999,https://boxd.it/1G7a,2.5
2019-08-28,The Devil Wears Prada,2006,https://boxd.it/2awE,4
2019-08-31,American History X,1998,https://boxd.it/2bdo,4.5
2019-09-08,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,3
2019-09-10,Eye for an Eye,2019,https://boxd.it/l60i,1.5
2019-09-10,Rilakkuma and Kaoru,2019,https://boxd.it/mwug,3
2019-09-21,Tall Girl,2019,https://boxd.it/n9yG,1
2019-09-30,Summer Camp Island,2016,https://boxd.it/eUmY,3.5
2019-10-29,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,5
2019-10-29,Fight Club,1999,https://boxd.it/2a9q,5
2019-10-29,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2019-10-29,Edward Scissorhands,1990,https://boxd.it/2aZc,4
2019-11-04,Gilmore Girls: A Year in the Life,2016,https://boxd.it/f9og,0.5
2019-11-05,Pulp Fiction,1994,https://boxd.it/29Pq,5
2019-11-10,Apollo 11,2019,https://boxd.it/k4r0,3.5
2019-11-10,Captains Courageous,1937,https://boxd.it/1K1g,3.5
2019-11-10,Easy A,2010,https://boxd.it/17DK,3
2019-11-11,Parasite,2019,https://boxd.it/hTha,4
2019-11-30,Black Mirror: Shut Up and Dance,2016,https://boxd.it/hRRq,4
2019-12-07,Dave,1993,https://boxd.it/1Txq,3.5
2019-12-26,Little Women,2017,https://boxd.it/hQd0,4
2019-12-26,Back to the Future Part II,1989,https://boxd.it/2aYI,4
2019-12-26,Back to the Future Part III,1990,https://boxd.it/2aTS,4
2020-01-04,Let It Snow,2019,https://boxd.it/9kKg,2.5
2020-01-13,Little Women,2019,https://boxd.it/aSVk,5
2020-01-14,Green Book,2018,https://boxd.it/hErk,2.5
2020-01-14,The Circle,2017,https://boxd.it/bj1I,3
2020-01-16,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq,2
2020-01-24,Witness for the Prosecution,1957,https://boxd.it/18H4,4
2020-01-27,Shaft,2019,https://boxd.it/htPq,1.5
2020-02-01,Watchmen,2019,https://boxd.it/ol5e,4
2020-02-05,Marriage Story,2019,https://boxd.it/hJAw,4
2020-02-10,Sherlock: The Great Game,2010,https://boxd.it/mwRa,4
2020-02-10,Sherlock: A Scandal in Belgravia,2012,https://boxd.it/mwHE,4
2020-02-10,Sherlock: The Reichenbach Fall,2012,https://boxd.it/mwV2,4
2020-02-10,Sherlock: The Empty Hearse,2014,https://boxd.it/mwIM,4
2020-02-10,Sherlock: The Sign of Three,2014,https://boxd.it/mwSs,4
2020-02-10,Sherlock: His Last Vow,2014,https://boxd.it/wls4,3.5
