user_id,movie_title,weight
letterboxd-mariohervas-2026-03-04-17-51-utc,under the silver lake,0.035642
letterboxd-mariohervas-2026-03-04-17-51-utc,us and them,0.042887
letterboxd-mariohervas-2026-03-04-17-51-utc,flux gourmet,0.042887
letterboxd-mariohervas-2026-03-04-17-51-utc,mandy,0.050035
letterboxd-mariohervas-2026-03-04-17-51-utc,only god forgives,0.035739
letterboxd-mariohervas-2026-03-04-17-51-utc,fear and desire,0.028591
letterboxd-mariohervas-2026-03-04-17-51-utc,killer's kiss,0.035739
letterboxd-mariohervas-2026-03-04-17-51-utc,the killing,0.035739
letterboxd-mariohervas-2026-03-04-17-51-utc,paths of glory,0.057183
letterboxd-mariohervas-2026-03-04-17-51-utc,spartacus,0.057183
letterboxd-mariohervas-2026-03-04-17-51-utc,lolita,0.021444
letterboxd-mariohervas-2026-03-04-17-51-utc,dr. strangelove or: how i learned to stop worrying and love the bomb,0.050035
letterboxd-mariohervas-2026-03-04-17-51-utc,2001: a space odyssey,0.064331
letterboxd-mariohervas-2026-03-04-17-51-utc,a clockwork orange,0.050035
letterboxd-mariohervas-2026-03-04-17-51-utc,barry lyndon,0.057183
letterboxd-mariohervas-2026-03-04-17-51-utc,the shining,0.057183
letterboxd-mariohervas-2026-03-04-17-51-utc,full metal jacket,0.057183
letterboxd-mariohervas-2026-03-04-17-51-utc,eyes wide shut,0.071479
letterboxd-mariohervas-2026-03-04-17-51-utc,the great beauty,0.05734
letterboxd-mariohervas-2026-03-04-17-51-utc,the worst person in the world,0.043123
letterboxd-mariohervas-2026-03-04-17-51-utc,boiling point,0.150825
letterboxd-mariohervas-2026-03-04-17-51-utc,the lobster,0.050725
letterboxd-mariohervas-2026-03-04-17-51-utc,mission: impossible,0.036431
letterboxd-mariohervas-2026-03-04-17-51-utc,trash humpers,0.029305
letterboxd-mariohervas-2026-03-04-17-51-utc,lamb,0.036632
letterboxd-mariohervas-2026-03-04-17-51-utc,fear and loathing in las vegas,0.044199
letterboxd-mariohervas-2026-03-04-17-51-utc,too late,0.036934
letterboxd-mariohervas-2026-03-04-17-51-utc,teenage mutant ninja turtles: mutant mayhem,0.059256
letterboxd-mariohervas-2026-03-04-17-51-utc,la haine,0.059419
letterboxd-mariohervas-2026-03-04-17-51-utc,former cult member hears music for the first time,0.044686
letterboxd-mariohervas-2026-03-04-17-51-utc,scarface,0.059745
letterboxd-mariohervas-2026-03-04-17-51-utc,eer,0.044932
letterboxd-mariohervas-2026-03-04-17-51-utc,past lives,0.045055
letterboxd-mariohervas-2026-03-04-17-51-utc,the banshees of inisherin,0.045179
letterboxd-mariohervas-2026-03-04-17-51-utc,the nun ii,0.015101
letterboxd-mariohervas-2026-03-04-17-51-utc,saw,0.045427
letterboxd-mariohervas-2026-03-04-17-51-utc,come and see,0.053144
letterboxd-mariohervas-2026-03-04-17-51-utc,x,0.045552
letterboxd-mariohervas-2026-03-04-17-51-utc,pearl,0.03796
letterboxd-mariohervas-2026-03-04-17-51-utc,saw ii,0.045552
letterboxd-mariohervas-2026-03-04-17-51-utc,dogville,0.060902
letterboxd-mariohervas-2026-03-04-17-51-utc,saw iii,0.023027
letterboxd-mariohervas-2026-03-04-17-51-utc,the elephant man,0.061573
letterboxd-mariohervas-2026-03-04-17-51-utc,saw iv,0.030956
