title_normalized,title_original,tmdb_id,year,director,tmdb_genres,tmdb_keywords,nanogenres,themes,overview,popularity,vote_average,lb_url
(500) days of summer,(500) Days of Summer,19913,2009,Marc Webb,Comedy|Drama|Romance,"jealousy|gallery|fight|date|architect|interview|romcom|sister|love|friends|fate|los angeles, california|summer|cynical|year|heartache",,,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",8.64,7.299,https://letterboxd.com/film/500-days-of-summer/
10 things i hate about you,10 Things I Hate About You,4951,1999,Gil Junger,Comedy|Romance|Drama,"high school|seattle, washington|deception|based on play or musical|coming of age|teen movie|shrew|teen comedy|valentine's day|opposites attract|duringcreditsstinger|teenage romance|overprotective father|playful|lighthearted|casual|cliché",,,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the onl",11.3254,7.589,https://letterboxd.com/film/10-things-i-hate-about-you/
12 angry men,12 Angry Men,389,1957,Sidney Lumet,Drama,death penalty|anonymity|court case|judge|jurors|innocence|witness|knife|matter of life and death|based on play or musical|trial|murder|debate|capital punishment|black and white|courtroom|angry|courtroom drama|huis clos|baffled,,,The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the tri,19.8175,8.559,https://letterboxd.com/film/12-angry-men/
12 hour shift,12 Hour Shift,667141,2020,Brea Grant,Comedy|Crime|Horror,,,,"It's 1999 and over the course of one 12-hour shift at an Arkansas hospital, a junkie nurse, her scheming cousin and a group of black market organ-trading criminals start a heist that could lead to their collective demise.",0.8073,5.5,https://letterboxd.com/film/12-hour-shift/
13 going on 30,13 Going on 30,10096,2004,Gary Winick,Comedy|Fantasy|Romance,new york city|photographer|editor-in-chief|time travel|wish|beautiful woman|child as an adult|friends in love|age change|teenager|didactic|time jump,,,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. Thanks to some magic wishing dust, Jenna's prayer has been answered. With a knockout body, a fabulous wardrobe, an athlete boyfriend, a dream job, and superstar friends, this can't be a better",5.8088,6.769,https://letterboxd.com/film/13-going-on-30/
1917,1917,530915,2019,Sam Mendes,War|History|Drama,race against time|world war i|british army|soldier|period drama|real time|trenches|1910s|trench warfare|no man's land|intense|horrified,,,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",9.4157,8.0,https://letterboxd.com/film/1917/
"20,000 species of bees","20,000 Species of Bees",1053600,2023,Estibaliz Urresola Solaguren,Drama,transsexuality|intimate|intense|powerful,,,"Lucía is an eight-year-old girl, who sometimes struggles as the world tries to catch up with the fact that she is trans. As the summer holidays pass, she explores her femininity alongside the women of her family who at the same time reflect on their own femininity.",0.8345,7.1,https://letterboxd.com/film/20-000-species-of-bees/
2001: a space odyssey,2001: A Space Odyssey,62,1968,Stanley Kubrick,Science Fiction|Mystery|Adventure,man vs machine|moon|jupiter|artificial intelligence (a.i.)|based on novel or book|technology|super computer|space travel|space mission|moon base|astronaut|evolution|monolith|space station|space opera|philosophical|2000s|ai rebellion|suspenseful|complicated,,,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",15.6851,8.054,https://letterboxd.com/film/2001-a-space-odyssey/
20th century women,20th Century Women,342737,2016,Mike Mills,Drama,"parent child relationship|1970s|balcony|feminism|punk rock|coming of age|feminist|free spirit|single mother|generation gap|santa barbara, california|mother son relationship|teenager",,,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder i",3.5453,7.318,https://letterboxd.com/film/20th-century-women/
21,21,8065,2008,Robert Luketic,Drama|Crime,friendship|card game|casino|gambling|professor|harvard university|cohabitant|college|girlfriend|studies|dormitory|blackjack|las vegas|furious|ghoulish,,,"Ben Campbell is a young, highly intelligent student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is i",6.5845,6.69,https://letterboxd.com/film/21/
28 years later,28 Years Later,1100988,2025,Danny Boyle,Horror|Thriller|Science Fiction,england|post-apocalyptic future|satanism|satanist|sequel|survival|zombie|survival horror|satanic cult|zombie apocalypse|northumberland|violence|bold|compassionate|ghoulish|lindisfarne,,,"Twenty-eight years after the Rage virus outbreak, a heavily-defended island survives connected to the mainland by a single causeway. When one of the group leaves the island into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but oth",16.9413,6.607,https://letterboxd.com/film/28-years-later/
28 years later: the bone temple,28 Years Later: The Bone Temple,1272837,2026,Nia DaCosta,Horror|Thriller|Science Fiction,england|post-apocalyptic future|satanism|satanist|sequel|satan|survival|zombie|death|crucifix|survival horror|satanic cult|zombie apocalypse|northumberland,,,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,55.9271,7.172,https://letterboxd.com/film/28-years-later-the-bone-temple/
3-iron,Iron Man 3,68721,2013,Shane Black,Action|Adventure|Science Fiction,california|war on terror|superhero|malibu|based on comic|tennessee|billionaire|aftercreditsstinger|marvel cinematic universe (mcu)|christmas|america,,,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",17.3409,6.931,https://letterboxd.com/film/3-iron/
7500,7500,509585,2019,Patrick Vollrath,Thriller|Drama,airplane|kidnapping|pilot|islam|flight|airplane hijacking|terrorism|airplane pilot|islamic terrorism|religious extremism,,,"When terrorists try to seize control of a Berlin-Paris flight, a soft-spoken young American co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers.",2.0804,6.155,https://letterboxd.com/film/7500/
8 mile,8 Mile,65,2002,Curtis Hanson,Drama|Music,"individual|adolescence|rap music|hip-hop|rhyme battle|trailer park|street gang|ethnic stereotype|rapper|ghetto|single|detroit, michigan|semi autobiographical|1990s|battle rap",,,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",8.5297,7.142,https://letterboxd.com/film/8-mile/
a brighter summer day,A Brighter Summer Day,15804,1991,Edward Yang,Crime|Drama|Romance,high school|baseball bat|based on true story|coming of age|taiwan|tragedy|murder|youth gang|gang|juvenile delinquent|teenage boy|troubled teen|first love|taipei|1960s|slow cinema|teenage protagonist|bitter,,,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",5.9153,8.253,https://letterboxd.com/film/a-brighter-summer-day/
a brighter tomorrow,A Brighter Tomorrow,925263,2023,Nanni Moretti,Comedy,melancholy|filmmaking|critical,,,"An old film director, unhappy with the movie he's shooting about a Hungarian circus stranded in Rome during the 1956 anti-Soviet uprising, faces divorce from his producer wife and other problems.",0.6775,7.0,https://letterboxd.com/film/a-brighter-tomorrow/
a clockwork orange,A Clockwork Orange,185,1971,Stanley Kubrick,Science Fiction|Crime,"london, england|robbery|street gang|great britain|based on novel or book|nihilism|parent child relationship|society|sexuality|social worker|psychopath|dystopia|dark comedy|satire|beating|juvenile delinquent|home invasion|sex crime|futuristic society|philosophical",,,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an ",11.5145,8.178,https://letterboxd.com/film/a-clockwork-orange/
a complete unknown,A Complete Unknown,661539,2024,James Mangold,Drama|Music,based on novel or book|musician|biography|1960s|disdainful,,,"New York, early 1960s. Against the backdrop of a vibrant music scene and tumultuous cultural upheaval, an enigmatic 19-year-old from Minnesota arrives in the West Village with his guitar and revolutionary talent, destined to change the course of American music.",5.7327,7.084,https://letterboxd.com/film/a-complete-unknown/
a ghost story,A Ghost Story,428449,2017,David Lowery,Drama|Fantasy|Mystery|Romance,sadness|house|loss|grief|morality|construction|death|ghost|piano,,,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.",6.2034,7.072,https://letterboxd.com/film/a-ghost-story/
a girl walks home alone at night,A Girl Walks Home Alone at Night,252171,2014,Ana Lily Amirpour,Horror|Romance,vampire|loneliness|black and white|prostitution|drugs|woman director|vampiress (female vampire)|critical|depressing|powerful,,,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",1.8477,6.8,https://letterboxd.com/film/a-girl-walks-home-alone-at-night/
a history of violence,A History of Violence,59,2005,David Cronenberg,Drama|Thriller|Crime,"small town|hero|robbery|indiana, usa|distrust|philadelphia, pennsylvania|dual identity|double life|fight|identity|self-defense|marriage|diner|mistaken identity|family relationships|irish mob|revenge|mobster|lawyer|attempted robbery",,,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,16.9839,7.165,https://letterboxd.com/film/a-history-of-violence/
a man escaped,A Man Escaped,15244,1956,Robert Bresson,Drama|Thriller,prison|nazi|escape|world war ii|rope|prison escape|escaped convict|religion|black and white|spoon|train|prison break|lyon france|trem|prisão|nazismo,,,A captured French Resistance fighter during World War II engineers a daunting escape from prison.,1.5981,7.9,https://letterboxd.com/film/a-man-escaped/
a prayer before dawn,A Prayer Before Dawn,448776,2018,Jean-Stéphane Sauvaire,Drama|Action|Crime,prison|prisoner|based on novel or book|thailand|biography|based on true story|muay thai|kick boxing|based on memoir or autobiography|drugs|outsider|boxing|thai boxing|ladyboy|chiang mai,,,"The amazing true story of Billy Moore, an English boxer incarcerated in Thailand’s most notorious prison. Thrown into a world of drugs and violence, he finds his best chance to escape is to fight his way out in prison Muay Thai tournaments.",2.0549,6.735,https://letterboxd.com/film/a-prayer-before-dawn/
a quiet place,A Quiet Place,447332,2018,John Krasinski,Horror|Drama|Science Fiction,pregnancy|fireworks|deaf|post-apocalyptic future|alien life-form|child in peril|creature|alien invasion|parenting|survival horror|alien monster|human vs alien|sign languages|hostile|anxious|dreary|quiet|upstate new york|psychological horror|suspenseful,,,A family is forced to live in silence while hiding from creatures that hunt by sound.,12.0568,7.392,https://letterboxd.com/film/a-quiet-place/
a quiet place part ii,A Quiet Place Part II,520763,2021,John Krasinski,Science Fiction|Thriller|Horror,new york city|island|post-apocalyptic future|radio transmission|alien life-form|death of father|child in peril|sequel|alien|flashback|psychological thriller|creature|alien invasion|parenting|family|survival horror|alien monster|human vs alien|sign languages|alien attack,,,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",7.7418,7.437,https://letterboxd.com/film/a-quiet-place-part-ii/
a quiet place: day one,A Quiet Place: Day One,762441,2024,Michael Sarnoski,Horror|Science Fiction|Thriller,escape|cat|alien|prequel|survival|survivalist|fear|alien invasion|spin off|survival horror|alien monster|hostile|anxious|noise|silence|quiet|suspenseful|tense|sci-fi horror,,,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",9.8046,6.656,https://letterboxd.com/film/a-quiet-place-day-one/
a rainy day in new york,A Rainy Day in New York,475303,2019,Woody Allen,Comedy|Romance,"infidelity|new york city|rain|paparazzi|kiss|interview|romance|cynical|filmmaking|high society|manhattan, new york city|young couple|college student|romantic weekend|rich family|film director|dreary|pathetic|negative|absurd",,,"Two young people arrive in New York to spend a weekend, but once they arrive they're met with bad weather and a series of adventures.",0.2667,6.486,https://letterboxd.com/film/a-rainy-day-in-new-york/
a real pain,A Real Pain,1013850,2024,Jesse Eisenberg,Comedy|Drama,pain|suicide attempt|holocaust (shoah)|vacation|grief|jewish american|poland|cousin relationship|reflection|dramedy|candid|coping mechanisms|heritage|jewish|tour|death of grandmother|witty|compassionate|gentle,,,Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the pair's old tensions resurface against the backdrop of their family history.,4.6095,6.77,https://letterboxd.com/film/a-real-pain/
a simple favor,A Simple Favor,484247,2018,Paul Feig,Thriller|Comedy|Mystery,small town|based on novel or book|widow|dark comedy|female friendship|life insurance|best friend|single mother|biting|missing person|shocking|satirical|vlogger|pathetic|hilarious|audacious|bold,,,"Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into E",4.2391,6.642,https://letterboxd.com/film/a-simple-favor/
a woman under the influence,A Woman Under the Influence,29845,1974,John Cassavetes,Drama|Romance,"mental breakdown|unfaithfulness|los angeles, california|tense|ambivalent|cruel|disheartening",,,"Mabel Longhetti, desperate and lonely, is married to a Los Angeles municipal construction worker, Nick. Increasingly unstable, especially in the company of others, she craves happiness, but her extremely volatile behavior convinces Nick that she poses a danger to their family and decides to commit h",2.0735,7.793,https://letterboxd.com/film/a-woman-under-the-influence/
about time,About Time,122906,2013,Richard Curtis,Drama|Romance|Fantasy,"london, england|soulmates|parent child relationship|time travel|family secrets|cornwall, england|family|second chance|thoughtful|time-manipulation|reflective|playful|introspective|inspirational|intimate|sentimental|whimsical|admiring|adoring|amused",,,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in lea",10.0096,7.906,https://letterboxd.com/film/about-time/
absurda,Absurda,1587582,2025,"Frederico Sabbagh, Felipe Daniel",Documentary,,,,,0.0071,0.0,https://letterboxd.com/film/absurda/
across the universe,Across the Universe,4688,2007,Julie Taymor,Drama|Romance|Fantasy,"vietnam war|protest|musical|liverpool, england|riot|cultural difference|university|fantasy sequence|anti war|police arrest|march|woman director|1960s|jukebox musical",,,"When young dockworker Jude leaves Liverpool to find his estranged father in the United States, he is swept up by the waves of change that are re-shaping the nation. Jude falls in love with Lucy, who joins the growing anti-war movement. As the body count in Vietnam rises, political tensions at home s",2.7162,7.119,https://letterboxd.com/film/across-the-universe/
ad astra,Ad Astra,419704,2019,James Gray,Science Fiction|Drama,moon|planet mars|loss of loved one|astronaut|moon colony|solar system|solitude|spacewalk|father son relationship|near future|planet neptune|space walk,,,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost e",4.078,6.127,https://letterboxd.com/film/ad-astra/
after earth,After Earth,82700,2013,M. Night Shyamalan,Science Fiction|Action|Adventure,dystopia|post-apocalyptic future|alien|coming of age|stranded|crash landing|emotions|father son conflict|alien creature|22nd century|father son relationship|futuristic architecture|spaceship|emotionlessness|giant creature,,,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages ",3.9301,5.176,https://letterboxd.com/film/after-earth/
after hours,After Hours,10843,1985,Martin Scorsese,Comedy|Thriller|Drama,new york city|suicide|date|subway|nightclub|overdose|artist|surreal|punk rock|surrealism|coincidence|thief|murder|mobster|one night|vigilantism|soho|district|circumstance|paper mache,,,"Desperate to escape his mind-numbing routine, uptown Manhattan office worker Paul Hackett ventures downtown for a hookup with a mystery woman.",4.0661,7.499,https://letterboxd.com/film/after-hours/
aftersun,Aftersun,965150,2022,Charlotte Wells,Drama,hotel|depression|karaoke|tourist|vacation|turkey|swimming pool|coming of age|memory|tai chi|family vacation|first kiss|teenage daughter|lgbt|semi autobiographical|video recorder|woman director|moody|rug|father daughter relationship,,,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories fill the gaps between camcorder footages as she tries to reconcile the father she knew with the troubled man she didn't.,6.0114,7.678,https://letterboxd.com/film/aftersun/
"aguirre, the wrath of god","Aguirre, the Wrath of God",2000,1972,Werner Herzog,History|Adventure|Drama,gold|sentence|peru|insanity|gold rush|amazon rainforest|float|south america|hopeless|16th century|conquest|new german cinema|indigenous peoples|amazon river|conquistador|age of discovery|século xvi,,,"A few decades after the destruction of the Inca Empire, a Spanish expedition led by the infamous Aguirre leaves the mountains of Peru and goes down the Amazon River in search of the lost city of El Dorado. When great difficulties arise, Aguirre’s men start to wonder whether their quest will lead the",2.1256,7.452,https://letterboxd.com/film/aguirre-the-wrath-of-god/
air,Air,964980,2023,Ben Affleck,Drama|History,sports|based on true story|basketball|shoe|national basketball association (nba)|duringcreditsstinger|1980s,,,Discover the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,5.0237,7.285,https://letterboxd.com/film/air/
airplane!,Airplane!,813,1980,"Jim Abrahams, David Zucker, Jerry Zucker",Comedy,"chicago, illinois|post-traumatic stress disorder (ptsd)|airplane|cataclysm|nun|guitar|alcohol|stewardess|taxi driver|passenger|fear of flying|pilot|medicine|air controller|landing|saxophone|autopilot|parody|spoof|food poisoning",,,An ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning.,10.7313,7.307,https://letterboxd.com/film/airplane/
akira,Akira,149,1988,Katsuhiro Otomo,Animation|Science Fiction|Action,army|street gang|saving the world|total destruction|experiment|general|megacity|atomic bomb|stadium|underground|mutation|dystopia|cyberpunk|based on manga|motorcycle gang|adult animation|psychotronic|anime|2010s|vibrant,,,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,10.0594,7.944,https://letterboxd.com/film/akira/
alice in wonderland,Alice in Wonderland,12155,2010,Tim Burton,Family|Fantasy|Adventure,based on novel or book|queen|based on children's book|psychotic|fantasy world|taunting|mad hatter|lewis carroll|live action remake|based on young adult novel|mischievous|adaptation|incredulous|amused|euphoric|wonderland|march hare|queen of hearts,,,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",11.271,6.638,https://letterboxd.com/film/alice-in-wonderland/
alien,Alien,348,1979,Ridley Scott,Horror|Science Fiction,android|spacecraft|space marine|biology|dystopia|countdown|space suit|beheading|space travel|cowardice|alien|space|female protagonist|parasite|space opera|cosmos,,,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of ",18.5541,8.169,https://letterboxd.com/film/alien/
alien: romulus,Alien: Romulus,945961,2024,Fede Álvarez,Horror|Science Fiction,alien life-form|alien|space|spin off|alien contact|alien monster|alien encounter|space capsule|cryonics|alien hostility|spaceship|sci-fi horror,,,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",19.1702,7.17,https://letterboxd.com/film/alien-romulus/
alita: battle angel,Alita: Battle Angel,399579,2019,Robert Rodriguez,Action|Science Fiction|Adventure,martial arts|bounty hunter|strong woman|dystopia|extreme sports|superhero|cyberpunk|transhumanism|based on manga|female cyborg|live action remake|floating city|straightforward|26th century,,,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",8.0964,7.2,https://letterboxd.com/film/alita-battle-angel/
all about my mother,All About My Mother,99,1999,Pedro Almodóvar,Comedy|Drama,"drug abuse|barcelona, spain|transvestism|transplantation|madrid, spain|transsexuality|birthday|autograph|friends|lgbt|melodrama",,,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",2.3912,7.619,https://letterboxd.com/film/all-about-my-mother/
all of us strangers,All of Us Strangers,994108,2023,Andrew Haigh,Romance|Drama|Fantasy,"london, england|based on novel or book|isolation|screenwriter|gay club|surrealism|nostalgia|alcoholism|love|grief|loneliness|neighbor|memory|childhood home|death|magic realism|high rise|tower block|lgbt|record player",,,"One night in his near-empty tower block in contemporary London, Adam has a chance encounter with a mysterious neighbor Harry, which punctures the rhythm of his everyday life.",3.4043,7.392,https://letterboxd.com/film/all-of-us-strangers/
all quiet on the western front,All Quiet on the Western Front,49046,2022,Edward Berger,War|Drama,based on novel or book|world war i|tank|battle|period drama|german soldier|1910s|aircraft|trench warfare|approving,,,"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror ",7.2831,7.718,https://letterboxd.com/film/all-quiet-on-the-western-front/
all that jazz,All That Jazz,16858,1979,Bob Fosse,Drama,movie business|show business|tap dancing|film in film|tragedy|divorce|broadway|rainstorm|surgery|editing|semi autobiographical|restroom|screening room|amphetamine|prescription drug abuse|angel of death,,,"Joe Gideon is at the top of the heap, one of the most successful directors and choreographers in musical theater. But he can feel his world slowly collapsing around him - his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",2.6128,7.486,https://letterboxd.com/film/all-that-jazz/
all the president's men,All the President's Men,891,1976,Alan J. Pakula,Drama|Mystery|Thriller,"newspaper|journalist|plan|washington dc, usa|shadowing|politics|burglar|fbi|wiretap|watergate scandal|based on true story|conspiracy|newspaper man|watergate|informative|confidential source",,,"During the 1972 elections, two reporters' investigation sheds light on the controversial Watergate scandal that compels President Nixon to resign from his post.",4.2311,7.7,https://letterboxd.com/film/all-the-presidents-men/
allegiant,Allegiant,262504,2016,Robert Schwentke,Adventure|Science Fiction|Action|Mystery,based on novel or book|revolution|dystopia|sequel|transhumanism|vaccination|based on young adult novel|mass surveillance|smart city,,,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,3.8489,6.101,https://letterboxd.com/film/allegiant/
almost famous,Almost Famous,786,2000,Cameron Crowe,Drama|Music,"hotel room|concert|rock 'n' roll|stewardess|drug addiction|san diego, california|overdose|groupie|music journalist|heavy metal|based on true story|swimming pool|coming of age|promiscuity|on the road|domineering mother|reconciliation|semi autobiographical|innocence lost|bus trip",,,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band, Stillwater.",6.0344,7.497,https://letterboxd.com/film/almost-famous/
alphaville,Alphaville,8072,1965,Jean-Luc Godard,Drama|Science Fiction|Mystery,photography|dystopia|super computer|surrealism|film noir|lemmy caution|private detective|french noir|computer scientist|future vision|distant  planet|authoritarian regime|technology addiction|dystopian future|inteligência artificial|detetive|distopia,,,"Lemmy Caution is on a mission to eliminate Professor Von Braun, the creator of a malevolent computer that rules the city of Alphaville. Befriended by the scientist’s daughter Natasha, Lemmy must unravel the mysteries of the strictly logical Alpha 60 and teach Natasha the meaning of the word “love.”",2.3532,6.9,https://letterboxd.com/film/alphaville/
amadeus,Amadeus,279,1984,Miloš Forman,History|Music|Drama,"opera|composer|musician|marriage crisis|italy|talent|emperor|austria|based on true story|based on play or musical|mozart|god|murder|vienna, austria|envy|18th century|prodigy|inspirational|bitter",,,Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Salzburger composer Wolfgang Amadeus Mozart.,6.0941,8.024,https://letterboxd.com/film/amadeus/
american beauty,American Beauty,14,1999,Sam Mendes,Drama,estate agent|adultery|coming out|first time|virgin|cheating|parent child relationship|age difference|midlife crisis|cheerleader|dark comedy|rose|satire|dysfunctional family|suburbia|coming of age|sexual fantasy|dysfunctional marriage|marijuana|loneliness,,,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",11.053,8.001,https://letterboxd.com/film/american-beauty/
american fiction,American Fiction,1056360,2023,Cord Jefferson,Comedy|Drama,"sibling relationship|boston, massachusetts|writing|race politics|dark comedy|satire|alzheimer's disease|dysfunctional family|pseudonym|family drama|lgbt|racial stereotype|dramedy|thoughtful|publishing|complex|mother son relationship|race relations|serious|inspirational",,,"A novelist fed up with the establishment profiting from ""Black"" entertainment uses a pen name to write a book that propels him into the heart of hypocrisy and the madness he claims to disdain.",2.9613,7.266,https://letterboxd.com/film/american-fiction/
american history x,American History X,73,1998,Tony Kaye,Drama,"prison|neo-nazism|rape|skinhead|sibling relationship|swastika|nazi|brother|fascism|tragedy|jail|school|los angeles, california|family|xenophobia|interracial friendship|nazism|violence|crime|excited",,,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughou",12.0414,8.327,https://letterboxd.com/film/american-history-x/
american psycho,American Psycho,1359,2000,Mary Harron,Thriller|Drama|Crime,new york city|based on novel or book|businessman|psychopath|dark comedy|satire|wall street|serial killer|chainsaw|big city|psychological thriller|character study|white collar|harvard business school|voice imitation|1980s|american businessman|bloody|ambiguity|psychological horror,,,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",13.175,7.408,https://letterboxd.com/film/american-psycho/
amélie,Amélie,194,2001,Jean-Pierre Jeunet,Comedy|Romance,"daughter|paris, france|love triangle|photography|ghost train|sex shop|shyness|journey around the world|postcard|romcom|hypochondriac|romance|cafe|kindness|magic realism|child's point of view|nostalgic|montmartre, paris|neighbor neighbor relationship|father daughter relationship",,,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of he",9.094,7.919,https://letterboxd.com/film/am-lie/
anatomy of a fall,Anatomy of a Fall,915935,2023,Justine Triet,Thriller|Mystery|Crime,husband wife relationship|winter|bisexuality|moral conflict|autopsy|blind|courtroom|lgbt|death of husband|woman director|moral dilemma|courtroom drama|complex|mother son relationship|introspective|bisexual woman|grenoble|suspenseful|intense|amused,,,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",6.6016,7.523,https://letterboxd.com/film/anatomy-of-a-fall/
anatomy of a murder,Anatomy of a Murder,93,1959,Otto Preminger,Crime|Drama|Mystery,adultery|jealousy|rape|based on novel or book|court case|michigan|judge|hays code|jazz|jurors|trial|lawyer|black and white|courtroom|murder trial|courtroom drama,,,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free,",3.3805,7.8,https://letterboxd.com/film/anatomy-of-a-murder/
angel has fallen,Angel Has Fallen,423204,2019,Ric Roman Waugh,Action|Thriller,usa president|sequel|secret service|framed for a crime|terrorist plot|assassination attempt|survivalism|u.s. secret service agent|manhunt|father son relationship|intense|audacious|mean spirited,,,"After a treacherous attack, Secret Service agent Mike Banning is charged with attempting to assassinate President Trumbull. Chased by his own colleagues and the FBI, Banning begins a race against the clock to clear his name.",7.5268,6.596,https://letterboxd.com/film/angel-has-fallen/
