title_normalized,title_original,tmdb_id,year,director,tmdb_genres,tmdb_keywords,nanogenres,themes,overview,popularity,vote_average,lb_url
the imitation game,The Imitation Game,205596,2014,Morten Tyldum,History|Drama|Thriller|War,england|homophobia|world war ii|mathematician|genius|biography|based on true story|male homosexuality|code breaking|lgbt|logician|cryptography|math genius|gay theme|inspirational|codes|criptografia,,,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",18.2768,7.986,https://letterboxd.com/film/the-imitation-game/
the informer,The Informer,466081,2019,Andrea Di Stefano,Drama|Crime|Thriller,prison|new york city|based on novel or book|gangster|organized crime|ex-con|undercover operation|police informant|polish mafia,,,"In New York, former convict Pete Koslow, related to the Polish mafia, must deal with both Klimek the General, his ruthless boss, and the twisted ambitions of two federal agents, as he tries to survive and protect the lives of his loved ones.",2.953,6.535,https://letterboxd.com/film/the-informer/
the intern,The Intern,257211,2015,Nancy Meyers,Comedy,"new york city|friendship|san francisco, california|office|masseuse|website|tai chi|internet|fish out of water|brooklyn, new york city|business start-up|driver|senior citizen|ceo|father figure|intern|social media|gentleman|woman director|meditative",,,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",8.4322,7.226,https://letterboxd.com/film/the-intern/
the intouchables,The Intouchables,77338,2011,"Éric Toledano, Olivier Nakache",Drama|Comedy,friendship|male friendship|based on true story|masseuse|aristocrat|paragliding|interracial friendship|unlikely friendship|duringcreditsstinger|quadriplegic|quadriplegia|feel good,,,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,15.2972,8.269,https://letterboxd.com/film/the-intouchables/
the invisible man,The Invisible Man,570670,2020,Leigh Whannell,Thriller|Science Fiction|Horror,based on novel or book|pregnancy|architect|fake suicide|stalker|remake|murder|domestic abuse|scientist|police detective|death|invisible person|mental hospital|angry|woman in peril|invisible man|frightened,,,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.7967,7.094,https://letterboxd.com/film/the-invisible-man/
the iron claw,The Iron Claw,850165,2023,Sean Durkin,History|Drama,"suicide|coma|sports|1970s|texas|wrestling|brotherhood|biography|dallas, texas|based on true story|dysfunctional family|family relationships|grief|tragedy|curse|historical|family|death|mental illness|overbearing father",,,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s. Through tragedy and triumph, under the shadow of their domineering father and coach, the brothers seek larger-than-life immortality on the biggest s",5.0143,7.518,https://letterboxd.com/film/the-iron-claw/
the killer,The Killer,800158,2023,David Fincher,Crime|Thriller,"sniper|new york city|assassin|airport|paris, france|hitman|new orleans, louisiana|dark comedy|client|product placement|sociopath|revenge|murder|fate|lawyer|brutality|based on graphic novel|character study|perfectionist|hired killer",,,"After a fateful miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.",6.0036,6.587,https://letterboxd.com/film/the-killer/
the killers,The Killers,14638,1946,Robert Siodmak,Crime|Mystery|Thriller,small town|new jersey|gas station|boxer|heist|femme fatale|film noir|murder|black and white|attempted robbery|insurance investigator|hemingway,,,"Two hit men walk into a diner asking for a man called ""the Swede"". When the killers find the Swede, he's expecting them and doesn't put up a fight. Since the Swede had a life insurance policy, an investigator, on a hunch, decides to look into the murder. As the Swede's past is laid bare, it comes to",2.5629,7.3,https://letterboxd.com/film/the-killers/
the killing,The Killing,247,1956,Stanley Kubrick,Crime|Thriller,sniper|adultery|robbery|husband wife relationship|corruption|marriage crisis|gangster|ex-detainee|horse race|way of life|heist|femme fatale|film noir|bag of money|black and white,,,"Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where h",3.0623,7.647,https://letterboxd.com/film/the-killing/
the killing of a sacred deer,The Killing of a Sacred Deer,399057,2017,Yorgos Lanthimos,Drama|Thriller|Mystery,husband wife relationship|hostage|psychopath|insanity|blackmail|surgeon|paralysis|dysfunctional family|paranormal|revenge|hospital|cruelty|brutality|cafe|cardiologist|recovering alcoholic|open heart surgery,,,"Dr. Steven Murphy is a renowned cardiovascular surgeon who presides over a spotless household with his wife and two children. Lurking at the margins of his idyllic suburban existence is Martin, a fatherless teen who insinuates himself into the doctor's life in gradually unsettling ways.",4.065,7.01,https://letterboxd.com/film/the-killing-of-a-sacred-deer/
