user_idx,movie_idx,weight,user_id,movie_title
0,185,0.050035,letterboxd-mariohervas-2026-03-04-17-51-utc,dr. strangelove or: how i learned to stop worrying and love the bomb
0,7,0.064331,letterboxd-mariohervas-2026-03-04-17-51-utc,2001: a space odyssey
0,15,0.050035,letterboxd-mariohervas-2026-03-04-17-51-utc,a clockwork orange
0,76,0.057183,letterboxd-mariohervas-2026-03-04-17-51-utc,barry lyndon
0,759,0.057183,letterboxd-mariohervas-2026-03-04-17-51-utc,the shining
0,248,0.057183,letterboxd-mariohervas-2026-03-04-17-51-utc,full metal jacket
0,219,0.071479,letterboxd-mariohervas-2026-03-04-17-51-utc,eyes wide shut
0,674,0.05734,letterboxd-mariohervas-2026-03-04-17-51-utc,the great beauty
0,788,0.043123,letterboxd-mariohervas-2026-03-04-17-51-utc,the worst person in the world
0,104,0.150825,letterboxd-mariohervas-2026-03-04-17-51-utc,boiling point
0,713,0.050725,letterboxd-mariohervas-2026-03-04-17-51-utc,the lobster
0,426,0.036431,letterboxd-mariohervas-2026-03-04-17-51-utc,mission: impossible
0,815,0.029305,letterboxd-mariohervas-2026-03-04-17-51-utc,trash humpers
0,367,0.036632,letterboxd-mariohervas-2026-03-04-17-51-utc,lamb
0,230,0.044199,letterboxd-mariohervas-2026-03-04-17-51-utc,fear and loathing in las vegas
0,806,0.036934,letterboxd-mariohervas-2026-03-04-17-51-utc,too late
0,609,0.059256,letterboxd-mariohervas-2026-03-04-17-51-utc,teenage mutant ninja turtles: mutant mayhem
0,362,0.059419,letterboxd-mariohervas-2026-03-04-17-51-utc,la haine
0,245,0.044686,letterboxd-mariohervas-2026-03-04-17-51-utc,former cult member hears music for the first time
0,544,0.059745,letterboxd-mariohervas-2026-03-04-17-51-utc,scarface
0,195,0.044932,letterboxd-mariohervas-2026-03-04-17-51-utc,eer
0,489,0.045055,letterboxd-mariohervas-2026-03-04-17-51-utc,past lives
0,627,0.045179,letterboxd-mariohervas-2026-03-04-17-51-utc,the banshees of inisherin
0,736,0.015101,letterboxd-mariohervas-2026-03-04-17-51-utc,the nun ii
0,539,0.045427,letterboxd-mariohervas-2026-03-04-17-51-utc,saw
0,142,0.053144,letterboxd-mariohervas-2026-03-04-17-51-utc,come and see
0,869,0.045552,letterboxd-mariohervas-2026-03-04-17-51-utc,x
0,492,0.03796,letterboxd-mariohervas-2026-03-04-17-51-utc,pearl
0,540,0.045552,letterboxd-mariohervas-2026-03-04-17-51-utc,saw ii
0,181,0.060902,letterboxd-mariohervas-2026-03-04-17-51-utc,dogville
0,541,0.023027,letterboxd-mariohervas-2026-03-04-17-51-utc,saw iii
0,652,0.061573,letterboxd-mariohervas-2026-03-04-17-51-utc,the elephant man
0,542,0.030956,letterboxd-mariohervas-2026-03-04-17-51-utc,saw iv
0,108,0.047333,letterboxd-mariohervas-2026-03-04-17-51-utc,bottoms
0,645,0.048117,letterboxd-mariohervas-2026-03-04-17-51-utc,the creator
0,543,0.049049,letterboxd-mariohervas-2026-03-04-17-51-utc,saw x
0,332,0.049049,letterboxd-mariohervas-2026-03-04-17-51-utc,jigsaw
0,349,0.076241,letterboxd-mariohervas-2026-03-04-17-51-utc,killers of the flower moon
0,239,0.052815,letterboxd-mariohervas-2026-03-04-17-51-utc,five nights at freddy's
0,570,0.07042,letterboxd-mariohervas-2026-03-04-17-51-utc,skinamarink
0,613,0.03521,letterboxd-mariohervas-2026-03-04-17-51-utc,terrifier 2
0,246,0.036587,letterboxd-mariohervas-2026-03-04-17-51-utc,fractured
0,23,0.046619,letterboxd-mariohervas-2026-03-04-17-51-utc,a simple favor
0,75,0.05625,letterboxd-mariohervas-2026-03-04-17-51-utc,barbie
0,54,0.075,letterboxd-mariohervas-2026-03-04-17-51-utc,another round
0,261,0.079442,letterboxd-mariohervas-2026-03-04-17-51-utc,godzilla minus one
0,58,0.02019,letterboxd-mariohervas-2026-03-04-17-51-utc,aquaman and the lost kingdom
0,48,0.070664,letterboxd-mariohervas-2026-03-04-17-51-utc,anatomy of a fall
0,228,0.030284,letterboxd-mariohervas-2026-03-04-17-51-utc,father there is only one
0,363,0.083916,letterboxd-mariohervas-2026-03-04-17-51-utc,la jetée
0,631,0.096234,letterboxd-mariohervas-2026-03-04-17-51-utc,the beasts
0,499,0.066847,letterboxd-mariohervas-2026-03-04-17-51-utc,poor things
0,194,0.04481,letterboxd-mariohervas-2026-03-04-17-51-utc,edge of winter
0,208,0.072375,letterboxd-mariohervas-2026-03-04-17-51-utc,escape from new york
0,167,0.0965,letterboxd-mariohervas-2026-03-04-17-51-utc,decision to leave
0,698,0.06148,letterboxd-mariohervas-2026-03-04-17-51-utc,the informer
0,188,0.14396,letterboxd-mariohervas-2026-03-04-17-51-utc,dune
0,494,0.087499,letterboxd-mariohervas-2026-03-04-17-51-utc,perfect days
0,683,0.089193,letterboxd-mariohervas-2026-03-04-17-51-utc,the holdovers
0,527,0.064588,letterboxd-mariohervas-2026-03-04-17-51-utc,road house
0,189,0.116898,letterboxd-mariohervas-2026-03-04-17-51-utc,dune: part two
0,738,0.09092,letterboxd-mariohervas-2026-03-04-17-51-utc,the others
0,336,0.09117,letterboxd-mariohervas-2026-03-04-17-51-utc,john wick: chapter 4
0,270,0.07836,letterboxd-mariohervas-2026-03-04-17-51-utc,gran turismo
0,288,0.10448,letterboxd-mariohervas-2026-03-04-17-51-utc,heat
0,56,0.078575,letterboxd-mariohervas-2026-03-04-17-51-utc,anyone but you
0,340,0.091671,letterboxd-mariohervas-2026-03-04-17-51-utc,judas and the black messiah
0,192,0.052383,letterboxd-mariohervas-2026-03-04-17-51-utc,eastern promises
0,701,0.091671,letterboxd-mariohervas-2026-03-04-17-51-utc,the iron claw
0,151,0.039395,letterboxd-mariohervas-2026-03-04-17-51-utc,crimes of the future
0,204,0.091922,letterboxd-mariohervas-2026-03-04-17-51-utc,eo
0,511,0.039395,letterboxd-mariohervas-2026-03-04-17-51-utc,prisoners of the ghostland
0,861,0.078791,letterboxd-mariohervas-2026-03-04-17-51-utc,willy's wonderland
0,274,0.065659,letterboxd-mariohervas-2026-03-04-17-51-utc,guns akimbo
0,154,0.118186,letterboxd-mariohervas-2026-03-04-17-51-utc,custody
0,141,0.079007,letterboxd-mariohervas-2026-03-04-17-51-utc,collateral
0,581,0.092174,letterboxd-mariohervas-2026-03-04-17-51-utc,southpaw
0,506,0.092174,letterboxd-mariohervas-2026-03-04-17-51-utc,prince of darkness
0,33,0.079223,letterboxd-mariohervas-2026-03-04-17-51-utc,air
0,186,0.079441,letterboxd-mariohervas-2026-03-04-17-51-utc,dream scenario
0,307,0.052961,letterboxd-mariohervas-2026-03-04-17-51-utc,i stand alone
0,634,0.066201,letterboxd-mariohervas-2026-03-04-17-51-utc,the big short
0,237,0.079441,letterboxd-mariohervas-2026-03-04-17-51-utc,first man
0,486,0.066201,letterboxd-mariohervas-2026-03-04-17-51-utc,pain and glory
0,749,0.079441,letterboxd-mariohervas-2026-03-04-17-51-utc,the revenant
0,87,0.02648,letterboxd-mariohervas-2026-03-04-17-51-utc,belleville cop
0,5,0.066201,letterboxd-mariohervas-2026-03-04-17-51-utc,1917
0,337,0.079441,letterboxd-mariohervas-2026-03-04-17-51-utc,jojo rabbit
0,855,0.052961,letterboxd-mariohervas-2026-03-04-17-51-utc,while at war
0,548,0.105921,letterboxd-mariohervas-2026-03-04-17-51-utc,se7en
0,90,0.052961,letterboxd-mariohervas-2026-03-04-17-51-utc,birds of prey (and the fantabulous emancipation of one harley quinn)
